TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2568-11-17 15:05:49.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-2016
2568-11-17 15:05:49.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:05:49.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:05:50.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:05:50.754,1.109773894605777,0.6209792202312284,0.884418776461979,1.380703455412252,1.252714379316482,0.9896406194048006,0.8447633845212318,1.359316766520302,1.13859635488929,1.055544593253083,0.7988570674330435,1.24698970658322,0.8788350594056659,1.001384543858421,0.5580432512571589,0.9281060457232038,0.003131455174837513,0.7308806214875417,0.3945112757046744,0.3421876593429272,881.6117216117217,759.1208791208792,813.1135531135532,834.4688644688645,534.2857142857143,-0.169067,0.101562,0.982727,-12.762909,2.003784,-7.895508,403736.263736,98045054.945055,35749597.069597,112.592743,1,1,1,1,1,75.000000
2568-11-17 15:05:51.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:05:51.750,1.109773894605777,0.6209792202312284,0.8828460991313488,1.380703455412252,1.252714379316482,0.9896406194048006,1.151383618124536,1.359316766520302,1.13859635488929,1.055544593253083,0.7128214757582629,1.24698970658322,0.8788350594056659,1.001384543858421,0.6248604803146048,0.9281060457232038,0.003131455174837513,0.7308806214875417,0.4731450956468238,0.3421876593429272,854.2124542124542,809.8901098901099,803.040293040293,858.2417582417582,725.6776556776557,-0.034668,0.039551,1.048279,3.312225,-9.989014,-2.235565,403736.263736,97717875.457875,35639194.139194,112.592743,1,1,1,1,1,75.000000
2568-11-17 15:05:52.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:05:52.750,1.109773894605777,0.6209792202312284,1.026746184831039,1.380703455412252,1.252714379316482,0.9896406194048006,1.194291375378642,1.359316766520302,1.13859635488929,1.055544593253083,0.671507774970009,1.24698970658322,0.8788350594056659,1.001384543858421,0.6475906193021561,0.9281060457232038,0.003131455174837513,0.7308806214875417,0.4938732027603979,0.3421876593429272,846.959706959707,775.6410256410256,772.4175824175825,822.7838827838829,638.2417582417582,-0.067383,0.050476,1.012878,-0.321503,-8.291779,0.149536,404542.124542,97872600.732601,35729450.549451,112.592743,1,2,1,1,2,75.000000
2568-11-17 15:05:53.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:05:53.751,1.109773894605777,0.6209792202312284,1.026746184831039,1.380703455412252,1.252714379316482,0.9896406194048006,1.194291375378642,1.359316766520302,1.13859635488929,1.055544593253083,0.671507774970009,1.24698970658322,0.8788350594056659,1.001384543858421,0.6475906193021561,0.9281060457232038,0.003131455174837513,0.7308806214875417,0.4938732027603979,0.3421876593429272,853.4065934065934,779.6703296703297,826.8131868131868,815.5311355311355,557.2527472527472,-0.082031,0.042114,1.006775,0.157013,-2.018738,1.084137,403736.263736,97367326.007326,35612600.732601,112.592743,1,2,1,1,2,75.000000
2568-11-17 15:05:54.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:05:54.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:05:54.750,1.109773894605777,0.6209792202312284,0.8095192331002569,1.380703455412252,1.252714379316482,0.9896406194048006,0.4953394468108043,1.359316766520302,1.13859635488929,1.055544593253083,0.6213150649077519,1.24698970658322,0.8788350594056659,1.001384543858421,0.737088523783244,0.9281060457232038,0.003131455174837513,0.7308806214875417,0.2335905921719062,0.3421876593429272,869.92673992674,808.6813186813187,794.981684981685,860.2564102564103,814.3223443223443,-0.069275,0.046875,1.003845,-0.403748,-2.056122,0.157013,403736.263736,97301245.421245,35614212.454212,112.592743,1,2,1,1,2,75.000000
2568-11-17 15:05:55.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:05:55.750,1.109773894605777,0.6209792202312284,0.8512600866828174,1.380703455412252,1.252714379316482,0.9896406194048006,0.6128437100134581,1.359316766520302,1.13859635488929,1.055544593253083,0.7420622530387353,1.24698970658322,0.8788350594056659,1.001384543858421,0.7211053893204203,0.9281060457232038,0.003131455174837513,0.7308806214875417,0.2699735871959879,0.3421876593429272,836.8864468864469,809.4871794871796,802.2344322344322,843.7362637362637,595.1282051282052,-0.068542,0.046631,1.007202,-1.166382,-1.757050,-0.702820,404542.124542,97490622.710623,35665787.545788,112.592743,1,2,1,1,2,75.000000
2568-11-17 15:05:56.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:05:56.750,1.109773894605777,0.6209792202312284,0.655404300329029,1.380703455412252,1.252714379316482,0.9896406194048006,0.6192542655907987,1.359316766520302,1.13859635488929,1.055544593253083,0.8312810935828824,1.24698970658322,0.8788350594056659,1.001384543858421,0.7260561667069233,0.9281060457232038,0.003131455174837513,0.7308806214875417,0.0681226401372919,0.3421876593429272,844.9450549450549,803.8461538461539,807.8754578754579,828.4249084249085,776.4468864468864,-0.053406,0.043091,1.008240,0.231781,-1.861725,0.411224,404542.124542,97696923.076923,35735897.435897,112.592743,1,2,1,1,2,75.000000
2568-11-17 15:05:57.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:05:57.750,1.109773894605777,0.6209792202312284,0.6461103190458342,1.380703455412252,1.252714379316482,0.9896406194048006,0.5964012019929943,1.359316766520302,1.13859635488929,1.055544593253083,0.9913553907617939,1.24698970658322,0.8788350594056659,1.001384543858421,0.6273694952102914,0.9281060457232038,0.003131455174837513,0.7308806214875417,0.1877813939998613,0.3421876593429272,877.985347985348,817.5457875457876,808.6813186813187,835.6776556776557,684.1758241758242,-0.054382,0.044067,1.009216,-0.590668,-1.966400,0.186920,404542.124542,97208571.428571,35602930.402930,112.592743,1,2,1,1,2,75.000000
2568-11-17 15:05:58.760,1.109773894605777,0.6209792202312284,0.8069020009272913,1.380703455412252,1.252714379316482,0.9896406194048006,0.6809320926631544,1.359316766520302,1.13859635488929,1.055544593253083,0.9046297396417727,1.24698970658322,0.8788350594056659,1.001384543858421,0.5643700199898377,0.9281060457232038,0.003131455174837513,0.7308806214875417,0.3547749133341566,0.3421876593429272,830.0366300366301,805.8608058608058,805.8608058608058,839.3040293040293,625.7509157509157,-0.048645,0.053528,1.000671,-0.112152,-1.158905,0.358887,402930.402930,97239194.139194,35612600.732601,112.592743,1,2,1,1,2,75.000000
2568-11-17 15:05:59.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:05:59.758,1.070599928073581,0.6209792202312284,0.9170070782614662,0.4181600200233521,0.9061404586730546,0.9896406194048006,0.6469205290138457,0.917152247621047,1.009932038687893,1.055544593253083,0.8379011211362583,1.099758211827801,0.7632259687352008,1.001384543858421,0.5531230577233535,0.5262345289525828,0.06595638518692409,0.7308806214875417,0.3875065766908455,0.2613261885627267,832.8571428571429,778.4615384615385,801.8315018315019,826.007326007326,637.8388278388279,-0.042053,0.044678,1.007690,-0.485992,-1.629944,-0.680389,405347.985348,97398754.578755,35642417.582418,112.592743,1,1,1,1,1,75.000000
2568-11-17 15:06:00.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:06:00.750,1.106721732347216,0.6209792202312284,1.119262279058743,0.3214974484531133,0.9835065624110961,0.9896406194048006,0.7553353980980735,0.9749452455736368,1.009932038687893,1.055544593253083,0.6761434779253003,1.099758211827801,0.8030091448463255,1.001384543858421,0.4492237938932713,0.5359001307337261,-0.07064684239212342,0.7308806214875417,0.4293454719394687,0.2188642676079929,880,806.6666666666667,809.0842490842491,842.5274725274726,734.9450549450549,-0.041199,0.048950,1.002747,0.179443,-1.614990,-0.186920,404542.124542,97037728.937729,35547326.007326,112.592743,1,1,1,1,1,75.000000
2568-11-17 15:06:01.120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:06:01.749,1.106721732347216,0.6209792202312284,0.7844713120632048,0.3214974484531133,0.9835065624110961,0.9896406194048006,0.5144887929561991,0.9749452455736368,1.009932038687893,1.055544593253083,0.4703723774539901,1.099758211827801,0.8030091448463255,1.001384543858421,0.5805823154347962,0.5359001307337261,-0.07064684239212342,0.7308806214875417,0.3961522956387832,0.2188642676079929,737.7655677655678,784.9084249084249,813.5164835164835,767.5824175824176,653.1501831501831,-0.036499,0.051331,1.004761,-0.650482,-1.502838,-0.665436,405347.985348,96907985.347985,35502197.802198,112.592743,1,1,1,1,1,75.000000
2568-11-17 15:06:01.940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:06:02.750,1.106721732347216,0.6209792202312284,0.813291591926355,0.3214974484531133,0.9835065624110961,0.9896406194048006,0.4654869433043632,0.9749452455736368,1.009932038687893,1.055544593253083,0.7479845621658192,1.099758211827801,0.8030091448463255,1.001384543858421,0.4879212095487977,0.5359001307337261,-0.07064684239212342,0.7308806214875417,-0.001744899047196531,0.2188642676079929,755.8974358974359,796.1904761904763,813.919413919414,751.4652014652015,670.8791208791209,-0.036987,0.054871,1.004272,-0.755157,-1.323395,0.358887,405347.985348,96917655.677656,35500586.080586,112.592743,1,2,1,1,2,75.000000
2568-11-17 15:06:02.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:06:03.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:06:03.751,1.106721732347216,0.6209792202312284,0.9476579749071152,0.3214974484531133,0.9835065624110961,0.9896406194048006,0.5636014178735207,0.9749452455736368,1.009932038687893,1.055544593253083,0.7003971273687105,1.099758211827801,0.8030091448463255,1.001384543858421,0.6090101575133061,0.5359001307337261,-0.07064684239212342,0.7308806214875417,0.1231477042690803,0.2188642676079929,855.4212454212454,772.8205128205128,799.8168498168499,856.2271062271062,867.1062271062272,-0.034302,0.059692,1.007507,-0.186920,-1.293488,0.336456,404542.124542,97049010.989011,35577142.857143,112.592743,1,2,1,1,2,75.000000
2568-11-17 15:06:04.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:06:04.760,1.106721732347216,0.6209792202312284,1.134898487661889,0.3214974484531133,0.9835065624110961,0.9896406194048006,0.6499840653052451,0.9749452455736368,1.009932038687893,1.055544593253083,0.4421826586210852,1.099758211827801,0.8030091448463255,1.001384543858421,0.6479484997992981,0.5359001307337261,-0.07064684239212342,0.7308806214875417,0.3853980586899062,0.2188642676079929,812.7106227106227,809.4871794871796,799.8168498168499,830.4395604395604,604.7985347985348,-0.045166,0.054138,1.007446,0.560760,-1.973877,-0.089722,404542.124542,97131208.791209,35606959.706960,112.592743,1,2,1,1,2,75.000000
2568-11-17 15:06:05.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:06:05.750,1.106721732347216,0.6209792202312284,1.038967490588158,0.3214974484531133,0.9835065624110961,0.9896406194048006,0.6598651193045015,0.9749452455736368,1.009932038687893,1.055544593253083,0.8686528193316275,1.099758211827801,0.8030091448463255,1.001384543858421,0.6004186062398874,0.5359001307337261,-0.07064684239212342,0.7308806214875417,0.4003879749914413,0.2188642676079929,815.934065934066,801.025641025641,817.1428571428571,828.4249084249085,655.5677655677656,-0.031738,0.059631,0.999451,-0.104675,-2.108459,0.336456,405347.985348,96890256.410256,35544908.424908,112.592743,1,2,1,1,2,75.000000
2568-11-17 15:06:06.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:06:06.758,1.106721732347216,0.6209792202312284,1.000236102577305,0.3214974484531133,0.9835065624110961,0.9896406194048006,0.4964054958918972,0.9749452455736368,1.009932038687893,1.055544593253083,0.8285899944512732,1.099758211827801,0.8030091448463255,1.001384543858421,0.5822741070542455,0.5359001307337261,-0.07064684239212342,0.7308806214875417,0.4296226090965731,0.2188642676079929,855.4212454212454,785.7142857142858,805.4578754578755,850.1831501831502,810.6959706959707,-0.045227,0.069458,1.008484,-0.508423,-1.106567,0.074768,404542.124542,96762124.542125,35510256.410256,112.592743,1,2,1,1,2,75.000000
2568-11-17 15:06:07.750,0.8208831569845475,0.8518946277779719,0.8029759674359864,0.6536702847375885,0.6219769361623255,0.4691803913953075,0.4592544062741196,0.5360543949884464,0.7945650667675379,1.312738406296249,0.6356598772984847,0.8314065393075963,0.5288225128643191,0.8905012440814172,0.7134395202298597,0.7346376006865913,0.002276703483104316,0.6159586751494067,0.4926188626199399,-0.01273748648933365,808.6813186813187,772.014652014652,811.5018315018315,846.1538461538462,620.9157509157509,-0.036255,0.064026,1.001709,-0.059814,-1.293488,0.747681,403736.263736,96746007.326007,35508644.688645,112.592743,1,1,1,1,1,75.000000
2568-11-17 15:06:08.750,0.6264811980578139,0.9066720345215866,0.5661724509867069,0.417780422532615,0.6170034839710743,0.7157054810717627,0.200242172772563,0.3245627478872982,0.9123064959529418,1.350362325312483,0.5426886966719279,0.8783525854835781,0.4070346026567044,0.9174237679187638,0.7135431414703667,0.6287652869621279,-0.1276417067722949,0.6213742220111157,0.4292634377989294,-0.01716651707613202,804.2490842490843,807.4725274725275,816.3369963369963,823.1868131868132,620.9157509157509,-0.040222,0.070068,1.005432,-0.403748,-1.749573,0.628052,403736.263736,96804835.164835,35512673.992674,112.592743,1,1,1,1,1,75.000000
2568-11-17 15:06:09.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-17 15:06:09.761,0.4057111341839089,0.9066720345215866,0.2436715941295566,0.5231686161460392,0.5955304104851964,0.7157054810717627,0.4620155795411168,0.2492095603256301,0.8071568718283215,1.350362325312483,0.678788139818651,0.7559187593984262,0.4499516732262185,0.9174237679187638,0.6160484600595488,0.5279377007419807,-0.09290196327579642,0.6213742220111157,0.3831963587459265,0.1148269031559864,839.7069597069598,708.7545787545788,816.3369963369963,839.3040293040293,686.5934065934066,0.029846,0.051880,1.004639,-1.487885,-7.185211,-11.387177,404542.124542,96818534.798535,35551355.311355,112.592743,1,1,1,1,1,75.000000
