TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2568-11-19 09:43:38.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-2184
2568-11-19 09:43:38.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-19 09:43:39.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-19 09:43:39.453,1.194472117573315,0,0.770817755166444,1.328827778582087,0.6880143695238433,0,-0.07641956240149272,0.8028414650727086,0.9824901980333138,0,0.2061322681369765,0.86882651476379,0.8404039138583009,0,-0.2158235921847392,0.5400101087732155,0.4589748945305046,0,-0.4393903690926583,0.2932641441417073,1110.07326007326,800.6227106227107,863.0769230769231,1113.296703296703,718.8278388278388,-0.088562,0.027222,0.999512,0.157013,-2.093506,-0.388794,353772.893773,94612893.772894,33319120.879121,112.592743,1,1,1,1,1,75.000000
2568-11-19 09:43:40.340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-19 09:43:40.464,1.044524027669859,0,0.4086187821526954,0.7455363940478359,-0.02606889795075931,0,-0.1950180238832309,0.1880035975080469,0.6097495999738426,0,-0.09636504322922948,0.4582728917050325,0.8557006879054898,0,-0.1818541800274426,0.4764758439330722,0.3253705029824277,0,-0.5080451618223744,0.2127330409224521,989.1941391941392,770,849.3772893772895,995.2380952380953,684.1758241758242,-0.081665,0.026123,0.997986,-0.515900,-0.777588,-0.710297,355384.615385,94955384.615385,33296556.776557,112.592743,1,1,1,1,1,75.000000
2568-11-19 09:43:41.458,0.3603235897340684,0,0.3148982966986749,0.4209270912235808,0.3159024545151839,0,-0.1534584300797464,0.3910975378580859,1.281103233812317,0,0.1745739201993049,0.7131356775214686,0.6176192042683331,0,-0.1853682186164351,0.3107956043663715,0.1831522571114805,0,-0.6455530130794981,0.1767743285254515,876.7765567765568,786.9230769230769,832.8571428571429,845.7509157509157,893.6996336996338,-0.079163,0.021667,0.999512,-0.014954,-1.390686,-0.538330,356190.476190,94597582.417582,33221611.721612,112.592743,1,1,1,1,1,75.000000
2568-11-19 09:43:41.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-19 09:43:42.453,0.99109811021741,0.09098592422232632,0.1006979448956677,0.9016425846219237,0.6116379069305509,0.08632757565188499,-0.01750576630716701,0.625950749706729,1.223410325200506,0.06307896040750442,0.1407644496714377,0.7529450457602018,0.6392846733415507,0.6997760539791966,-0.2177187508074212,0.414634824181821,0.305251898895268,0.3641912375645849,-0.616900523605064,0.1492300564306913,840.1098901098901,765.5677655677656,823.5897435897436,863.0769230769231,512.5274725274726,-0.087158,0.022888,0.995728,0.134583,-1.360779,0.590668,356996.336996,94446886.446886,33163589.743590,112.592743,1,1,1,1,1,75.000000
2568-11-19 09:43:43.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-19 09:43:43.462,1.123399520825437,0.1821993504967046,0.03053551973285831,1.235865528745444,0.7390722352013731,0.02783762427982661,-0.04009124077319126,0.7697180713792544,1.008859626078484,0.009823402356235675,0.01953859365924011,0.6861269654354369,0.6984968032954428,0.7763881432178256,-0.1948089723506451,0.5289851063528638,0.7215132535852835,0.2485040080217021,-0.5498851676687335,0.1654042380937137,1077.838827838828,797.8021978021978,830.0366300366301,1043.186813186813,718.8278388278388,-0.069702,0.033142,1.004211,-0.224304,-2.287903,-0.261688,356190.476190,94528278.388278,33157142.857143,112.592743,1,1,1,1,1,75.000000
2568-11-19 09:43:44.420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-19 09:43:44.453,1.41375579413021,0.381146633821378,0.4455257464232811,1.401896264329336,1.04411347559169,0.3805874540260248,0.1334762328185289,1.07972861466964,1.009923017512053,-0.1875421560340208,0.250484086152471,0.9263782567351653,0.6223461445672031,0.7998550428901781,-0.115795297462189,0.7021804122708633,0.3875142537395913,0.1356408315004687,-0.6509799624521669,0.09600251308579863,899.7435897435897,876.7765567765568,844.9450549450549,903.7728937728938,763.1501831501831,-0.071533,0.028076,0.999329,-0.052338,-2.601929,0.306549,360219.780220,94774871.794872,33154725.274725,112.592743,1,1,1,1,1,75.000000
2568-11-19 09:43:45.453,1.628489647455732,0.4888117515779227,0.9500878590024644,1.498130897451185,1.227806020528976,0.6177557938084822,0.5502074448621981,1.223723962689056,0.7808197013748498,-0.6373921235913068,0.3631290247040039,0.9382795417350106,0.6336945857147955,0.759503837457138,-0.001843698082406628,0.6869192314310846,0.3433150364629826,0.2061058419356552,-0.5279999332528414,0.1519107756199254,1005.311355311355,819.5604395604396,829.2307692307693,990.8058608058608,826.4102564102565,-0.068665,0.037415,1.003113,0.411224,-1.869202,0.650482,359413.919414,94627399.267399,33139413.919414,112.592743,1,1,1,1,1,75.000000
