model,accuracy,balanced_accuracy,macro_f1
SVM(linear),0.43333333333333335,0.4,0.40070505287896585
RandomForest,0.5666666666666667,0.45,0.4222222222222222
LogisticRegression,0.4666666666666667,0.42500000000000004,0.4258373205741627
